########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
0.000000000000e+00 8.253954136184e-03, 3.519853355497e-03 1.491911022455e+00
3.555555555556e+00 9.303020970759e-04, 9.814036241077e-04 3.756112998621e-02
7.111111111111e+00 1.104260015736e-03, 3.143218688448e-04 4.978188905310e-03
1.066666666667e+01 3.677635164762e-04, 2.314459729529e-04 3.703309632013e-03
1.422222222222e+01 1.291663533423e-04, 1.573818381735e-04 1.858805337216e-03
1.777777777778e+01 9.443799883153e-05, 7.246886411593e-05 9.406948262140e-04
2.133333333333e+01 6.040230148506e-05, 4.458205721447e-05 4.254735828370e-04
2.488888888889e+01 2.327815743553e-05, 2.409018303755e-05 2.713226819440e-04
2.844444444444e+01 9.231407860143e-06, 1.439987279548e-05 2.101099397667e-04
3.200000000000e+01 4.699861278069e-06, 8.311725226907e-06 1.156935937165e-04
3.555555555556e+01 3.010927806087e-06, 5.763820150285e-06 8.334499593666e-05
3.911111111111e+01 2.538088114014e-06, 4.351688747722e-06 7.805945562389e-05
4.266666666667e+01 1.894072328751e-06, 3.196710025650e-06 6.293323706958e-05
4.622222222222e+01 2.035291956867e-06, 2.161177546918e-06 5.778052594005e-05
4.977777777778e+01 1.153837178796e-06, 2.069222826051e-06 5.659006288209e-05
5.333333333333e+01 1.460262415172e-06, 2.795457125007e-06 4.945212373687e-05
5.688888888889e+01 1.191154812215e-06, 1.732315188320e-06 3.128855140836e-05
6.044444444444e+01 1.261304222998e-06, 1.890433467507e-06 3.719358846456e-05
6.400000000000e+01 6.870733293815e-07, 1.627865266806e-06 2.769217802009e-05
6.755555555556e+01 1.262253525146e-06, 1.090128189378e-06 2.844012133158e-05
7.111111111111e+01 8.277409065701e-07, 1.035807881114e-06 2.363199045445e-05
7.466666666667e+01 7.901134693684e-07, 1.072881862418e-06 2.416594946210e-05
7.822222222222e+01 6.020264686182e-07, 8.252381133024e-07 1.716945812982e-05
8.177777777778e+01 5.868114790559e-07, 8.302302040473e-07 1.319541950626e-05
8.533333333333e+01 6.495206814375e-07, 7.662256624125e-07 2.026657537040e-05
8.888888888889e+01 4.652052816907e-07, 7.122829729156e-07 1.845097128957e-05
9.244444444444e+01 6.473669673710e-07, 5.781023828921e-07 1.607054358703e-05
9.600000000000e+01 5.572982917307e-07, 6.320385792282e-07 1.466263694561e-05
9.955555555556e+01 6.468640854485e-07, 7.015070085003e-07 1.394791688305e-05
1.031111111111e+02 4.452902343670e-07, 6.549666841708e-07 1.000771467925e-05
1.066666666667e+02 3.947342660641e-07, 6.510364066092e-07 1.513473199975e-05
1.102222222222e+02 4.486297916053e-07, 7.750278180955e-07 1.496129415041e-05
1.137777777778e+02 3.770207404987e-07, 3.626750245849e-07 1.270323264386e-05
1.173333333333e+02 4.971815695593e-07, 5.459389683728e-07 1.108690485963e-05
1.208888888889e+02 2.684892841620e-07, 6.446963019285e-07 1.097335997840e-05
1.244444444444e+02 3.781713231158e-07, 4.755531741549e-07 9.893911347483e-06
1.280000000000e+02 2.220947813405e-07, 4.264375047439e-07 1.282338715676e-05
1.315555555556e+02 3.197611754814e-07, 5.524395344247e-07 7.671277581182e-06
1.351111111111e+02 2.197114131803e-07, 3.713335775095e-07 1.094128721572e-05
1.386666666667e+02 3.172668448465e-07, 2.856466673602e-07 8.632243756047e-06
1.422222222222e+02 3.566082028349e-07, 2.987118936786e-07 8.720046872662e-06
1.457777777778e+02 2.808771770078e-07, 2.571636416916e-07 8.508629217625e-06
1.493333333333e+02 1.833787107485e-07, 4.231855084470e-07 1.042901706069e-05
1.528888888889e+02 2.497194922424e-07, 2.874262887522e-07 6.387071845234e-06
