index,nx ,ny,nz
1,0.2958759,0.2958759,0.9082483
2,0.9082483,0.2958759,0.2958759
3,0.2958759,0.9082483,0.2958759
4,0.2958759,0.2958759,-0.9082483
5,0.9082483,0.2958759,-0.2958759
6,0.2958759,0.9082483,-0.2958759
7,0.2958759,-0.2958759,0.9082483
8,0.9082483,-0.2958759,0.2958759
9,0.2958759,-0.9082483,0.2958759
10,0.2958759,-0.2958759,-0.9082483
11,0.9082483,-0.2958759,-0.2958759
12,0.2958759,-0.9082483,-0.2958759
13,-0.2958759,0.2958759,0.9082483
14,-0.9082483,0.2958759,0.2958759
15,-0.2958759,0.9082483,0.2958759
16,-0.2958759,0.2958759,-0.9082483
17,-0.9082483,0.2958759,-0.2958759
18,-0.2958759,0.9082483,-0.2958759
19,-0.2958759,-0.2958759,0.9082483
20,-0.9082483,-0.2958759,0.2958759
21,-0.2958759,-0.9082483,0.2958759
22,-0.2958759,-0.2958759,-0.9082483
23,-0.9082483,-0.2958759,-0.2958759
24,-0.2958759,-0.9082483,-0.2958759
25,1.000000,0.000000,0.000000
26,0.000000,1.000000,0.000000
27,0.000000,0.000000,1.000000
28,-1.000000,0.000000,0.000000
29,0.000000,-1.000000,0.000000
30,0.000000,0.000000,-1.000000
