index,Ix,Iy,Iz,yx,yy,yz
1,5.236437793,0.008879799,0.01023413,-0.566323866,-0.895169311,-0.782655503
2,9.029762808,0.014176754,0.023474524,1.604434643,-0.737872411,1.16224444
3,5.677784222,0.018003042,0.012268563,-0.313760083,-0.624248031,-0.48381477
4,4.054681384,0.008596164,0.007681417,-1.242592777,-0.903592052,-1.157627171
5,5.916429873,0.012267124,0.018806686,-0.17719333,-0.794580264,0.47657917
6,7.154962253,0.040816852,0.007678353,0.531566054,0.053224459,-1.158077234
7,4.857371303,0.057897419,0.009575087,-0.78324749,0.560444156,-0.87946335
8,9.018457316,0.061837715,0.027314068,1.597964991,0.677454091,1.726240514
9,5.001594138,0.007138369,0.009576248,-0.700714897,-0.946882332,-0.879292708
10,4.069312021,0.041444603,0.012267124,-1.234220286,0.071865963,-0.484026249
11,6.542222096,0.050631978,0.023474524,0.180920933,0.34469166,1.16224444
12,7.930714067,0.10058846,0.010228239,0.975495811,1.828185342,-0.78352083
13,5.236437793,0.008879799,0.01023413,-0.566323866,-0.895169311,-0.782655503
14,9.029762808,0.014176754,0.023474524,1.604434643,-0.737872411,1.16224444
15,5.677784222,0.018003042,0.012268563,-0.313760083,-0.624248031,-0.48381477
16,4.054681384,0.008596164,0.007681417,-1.242592777,-0.903592052,-1.157627171
17,5.916429873,0.012267124,0.018806686,-0.17719333,-0.794580264,0.47657917
18,7.154962253,0.040816852,0.007678353,0.531566054,0.053224459,-1.158077234
19,4.857371303,0.057897419,0.009575087,-0.78324749,0.560444156,-0.87946335
20,9.018457316,0.061837715,0.027314068,1.597964991,0.677454091,1.726240514
21,5.001594138,0.007138369,0.009576248,-0.700714897,-0.946882332,-0.879292708
22,4.069312021,0.041444603,0.012267124,-1.234220286,0.071865963,-0.484026249
23,6.542222096,0.050631978,0.023474524,0.180920933,0.34469166,1.16224444
24,7.930714067,0.10058846,0.010228239,0.975495811,1.828185342,-0.78352083
25,8.589197415,0.039227387,0.024433841,1.352317814,0.006024147,1.303159911
26,7.179988381,0.037734463,0.014278111,0.545887442,-0.038309302,-0.188629493
27,4.518783843,0.045969647,0.022162922,-0.977006687,0.206240387,0.9695815
28,8.589197415,0.039227387,0.024433841,1.352317814,0.006024147,1.303159911
29,4.635190763,0.153655662,0.02212562,-0.910391959,3.404054059,0.964102078
30,4.290255329,0.010364637,0.014275348,-1.107783832,-0.851075979,-0.189035408
