########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
0.000000000000e+00 2.592849084995e-04, 1.692237585832e-02 5.960359552513e-02
3.555555555556e+00 2.898355707944e-06, 1.942051074367e-06 3.184381217110e-05
7.111111111111e+00 6.151979936802e-06, 3.346737479732e-06 4.098424807813e-05
1.066666666667e+01 6.874242117220e-05, 2.570955204913e-05 9.649381551095e-05
1.422222222222e+01 2.068731604183e-05, 8.197645325331e-06 1.265373175441e-04
1.777777777778e+01 1.117526540407e-05, 6.873450562766e-06 2.591528020235e-04
2.133333333333e+01 5.133751055039e-05, 3.240815031663e-05 1.552612576743e-03
2.488888888889e+01 1.700202877135e-04, 1.036601745740e-04 5.189466472345e-03
2.844444444444e+01 1.218913671601e-05, 7.743779819568e-06 3.382181741031e-04
3.200000000000e+01 7.407463031254e-06, 3.362889092656e-06 1.166286443698e-04
3.555555555556e+01 3.121222688475e-04, 8.407254115435e-06 1.063160938802e-04
3.911111111111e+01 5.397801877223e-06, 2.515249187573e-06 3.688358014306e-05
4.266666666667e+01 7.035021256761e-06, 3.417859916991e-06 2.449885123967e-05
4.622222222222e+01 9.107945286230e-05, 2.651476242841e-05 4.409848390428e-05
4.977777777778e+01 1.890603942213e-05, 1.061203259667e-05 1.725263401648e-05
5.333333333333e+01 3.391665093318e-06, 1.576389975698e-05 1.428740849098e-05
5.688888888889e+01 2.845639326508e-06, 8.940506100690e-05 4.361483995383e-05
6.044444444444e+01 6.040612902990e-06, 2.359908196715e-04 1.376238126733e-04
6.400000000000e+01 1.108473143566e-06, 1.713642802538e-05 2.022204434434e-05
6.755555555556e+01 1.179434548227e-06, 5.659005781456e-06 1.304066293769e-05
7.111111111111e+01 1.211099490217e-05, 8.956153770897e-06 3.432166771268e-05
7.466666666667e+01 1.221913184059e-06, 2.005164228571e-06 7.032453982092e-06
7.822222222222e+01 1.690647496091e-06, 1.840643906387e-06 8.018571942026e-06
8.177777777778e+01 2.059657242868e-05, 8.847891635964e-06 3.550825153075e-05
8.533333333333e+01 6.585286354459e-06, 2.616320311318e-06 1.024727757370e-05
8.888888888889e+01 2.871551861265e-06, 1.120297676146e-06 8.682714985236e-06
9.244444444444e+01 8.198779071564e-06, 2.627979108551e-06 2.486609601678e-05
9.600000000000e+01 1.405242282148e-05, 6.848186344692e-06 4.758495161595e-05
9.955555555556e+01 2.134733001342e-06, 1.111489528269e-06 6.257263478563e-06
1.031111111111e+02 1.465784360908e-06, 1.028662189618e-06 4.385434045566e-06
1.066666666667e+02 9.476785971050e-06, 7.476685089685e-06 4.647332303966e-06
1.102222222222e+02 1.490545279751e-06, 9.592165551973e-07 3.068075646610e-06
1.137777777778e+02 2.397054307160e-06, 1.537667346966e-06 6.228614021818e-06
1.173333333333e+02 2.144225747637e-05, 1.168444027072e-05 4.739376728133e-05
1.208888888889e+02 7.220889580051e-06, 2.829123896465e-06 1.462831138337e-05
1.244444444444e+02 2.824603820515e-06, 8.781222940685e-07 5.381052855529e-06
1.280000000000e+02 7.431960199285e-06, 1.392969628035e-06 5.693074239210e-06
1.315555555556e+02 1.202713190249e-05, 2.983069020458e-06 9.177334233758e-06
1.351111111111e+02 1.707170246968e-06, 7.104300789256e-07 2.460525039317e-06
1.386666666667e+02 1.281429708943e-06, 8.700629534525e-07 3.545129522623e-06
1.422222222222e+02 3.444482555969e-06, 4.369019442066e-06 1.367156311941e-05
1.457777777778e+02 7.917939991235e-07, 7.126415618796e-07 3.218610866174e-06
1.493333333333e+02 1.252163385605e-06, 9.423293432553e-07 3.637386473037e-06
1.528888888889e+02 7.680804208066e-06, 2.974032297474e-06 1.182717449859e-05
