########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
0.000000000000e+00 5.590705468954e-03, 2.632230644294e-03 5.066482009446e-01
3.555555555556e+00 1.717975224963e-05, 9.621125210171e-07 4.437397632639e-06
7.111111111111e+00 1.040142613057e-05, 4.359216689440e-07 3.298215243517e-06
1.066666666667e+01 7.966829845863e-06, 3.038845971036e-07 2.868029834896e-06
1.422222222222e+01 6.314178758689e-06, 2.755038720701e-07 1.233590886165e-06
1.777777777778e+01 3.592083198789e-06, 1.316354359013e-07 1.357066717510e-06
2.133333333333e+01 1.392940637984e-06, 1.362688060055e-07 6.391714276630e-07
2.488888888889e+01 1.891349358230e-06, 1.569543952141e-07 1.035286812851e-06
2.844444444444e+01 1.661600444404e-06, 7.553833377794e-08 9.049449374186e-07
3.200000000000e+01 1.664500384812e-06, 9.165035197912e-08 5.372264158428e-07
3.555555555556e+01 1.624840111629e-06, 5.168352444192e-08 7.575325172923e-07
3.911111111111e+01 8.075938302985e-07, 3.772426358851e-08 3.870230174397e-07
4.266666666667e+01 1.077625571414e-06, 8.080884880099e-08 3.238791110400e-07
4.622222222222e+01 1.348069852794e-06, 9.400278798723e-08 5.367630164682e-07
4.977777777778e+01 7.058032572057e-07, 4.348161057569e-08 7.680750932464e-07
5.333333333333e+01 9.694599496027e-07, 2.025307366988e-08 4.126750278739e-07
5.688888888889e+01 7.601399178647e-07, 2.634471299045e-08 1.379693034141e-07
6.044444444444e+01 5.756260358632e-07, 2.634806686323e-08 2.838373728064e-07
6.400000000000e+01 9.840458540942e-07, 2.943182185809e-08 6.165020505966e-07
6.755555555556e+01 8.209277399957e-07, 2.267310539130e-08 1.620180688178e-07
7.111111111111e+01 5.857647742127e-07, 3.127902438205e-08 2.450519807538e-07
7.466666666667e+01 6.484586780459e-07, 3.376166196569e-08 1.811987049941e-07
7.822222222222e+01 1.943603945874e-07, 2.261918411472e-08 1.524276790135e-07
8.177777777778e+01 4.127032337319e-07, 2.004561136232e-08 2.119247048478e-07
8.533333333333e+01 3.653737904420e-07, 1.803127350836e-08 1.945964590796e-07
8.888888888889e+01 3.100954972003e-07, 1.697879080957e-08 1.368199195890e-07
9.244444444444e+01 3.776127371144e-07, 1.845080453172e-08 1.165240988112e-07
9.600000000000e+01 4.296918466257e-07, 1.490477198069e-08 2.544633729597e-07
9.955555555556e+01 3.144326585510e-07, 1.457779414546e-08 7.041432946116e-08
1.031111111111e+02 1.779574237256e-07, 2.515302619967e-08 1.040883847891e-07
1.066666666667e+02 2.758079953440e-07, 8.096962934163e-09 9.958414141715e-08
1.102222222222e+02 3.177904645973e-07, 2.973336056634e-08 8.283687372792e-08
1.137777777778e+02 1.698176252033e-07, 2.707295081139e-08 1.403030077632e-07
1.173333333333e+02 1.811629265483e-07, 1.797364452706e-08 1.820980197270e-07
1.208888888889e+02 2.673880913854e-07, 1.744246459803e-08 3.438111925780e-06
1.244444444444e+02 2.252798289846e-07, 1.349893865644e-08 2.363775656495e-07
1.280000000000e+02 3.586648811404e-07, 1.479534604392e-08 1.128437920628e-07
1.315555555556e+02 3.070268342758e-07, 2.826361691481e-08 1.286387485359e-07
1.351111111111e+02 2.548903640681e-07, 8.077698310514e-09 9.861460076039e-08
1.386666666667e+02 2.456603001903e-07, 1.439954078791e-08 6.737753384108e-08
1.422222222222e+02 1.610401005719e-07, 1.906060318625e-08 8.204044037616e-08
1.457777777778e+02 2.093229487852e-07, 1.488037510830e-08 1.053836473934e-07
1.493333333333e+02 2.503852208346e-07, 1.161139807090e-08 1.422953537033e-07
1.528888888889e+02 2.007156710599e-07, 1.165245222565e-08 1.163735945569e-07
1.564444444444e+02 1.251016417448e-07, 1.107595251016e-08 5.088103735091e-08
1.600000000000e+02 1.003572766002e-07, 1.266420711730e-08 5.148635657775e-08
1.635555555556e+02 1.464964739053e-07, 9.667321131607e-09 3.670065773151e-08
1.671111111111e+02 1.971949748558e-07, 1.445889159821e-08 6.742409771844e-08
1.706666666667e+02 2.764148654537e-07, 8.596678241363e-09 1.005979248439e-07
1.742222222222e+02 1.886442582738e-07, 9.801689191796e-09 7.474412556399e-08
1.777777777778e+02 1.776325604300e-07, 1.104724378272e-08 5.837024040080e-08
1.813333333333e+02 1.665692163252e-07, 9.833841684308e-09 4.346034650166e-08
1.848888888889e+02 7.850847259354e-08, 1.275539313383e-08 3.056510910343e-08
1.884444444444e+02 6.597916685066e-08, 1.394221547654e-08 4.199184765648e-08
1.920000000000e+02 1.246210811443e-07, 9.502053954585e-09 6.442892929168e-08
1.955555555556e+02 1.486507089747e-07, 6.904056403754e-09 5.002545417832e-08
1.991111111111e+02 1.439950464555e-07, 5.810090536453e-09 6.050879360848e-08
2.026666666667e+02 1.222330601460e-07, 7.305320244368e-09 5.280056716438e-08
2.062222222222e+02 1.170757913939e-07, 6.449442091539e-09 3.289196526862e-08
2.097777777778e+02 1.224285440860e-07, 5.273092990738e-09 3.589175755564e-08
2.133333333333e+02 7.691542294455e-08, 7.089424940715e-09 3.323525959790e-08
2.168888888889e+02 1.061515429139e-07, 7.002791815303e-09 6.231912232290e-08
2.204444444444e+02 8.124862032369e-08, 1.077891149613e-08 3.781462233474e-08
2.240000000000e+02 1.353265469644e-07, 2.520498143054e-09 6.416743901135e-08
2.275555555556e+02 1.430336369949e-07, 6.797540134148e-09 6.114654479491e-08
2.311111111111e+02 7.134784504846e-08, 4.617151391516e-09 4.260161958306e-08
2.346666666667e+02 7.944377315968e-08, 6.396137542853e-09 6.606445144817e-08
2.382222222222e+02 1.264153473959e-07, 7.247270981540e-09 9.654601328542e-08
2.417777777778e+02 5.502724192866e-08, 6.233169101685e-09 1.412111736010e-06
2.453333333333e+02 1.097651085245e-07, 6.771823821786e-09 5.550932977799e-07
2.488888888889e+02 8.668047523759e-08, 6.266201286887e-09 1.387085664720e-07
2.524444444444e+02 1.086374609965e-07, 5.026755288468e-09 8.433895990973e-08
2.560000000000e+02 1.048385019411e-07, 8.181238037182e-09 6.167956541563e-08
2.595555555556e+02 9.601709481983e-08, 5.020029990814e-09 4.277139287329e-08
2.631111111111e+02 1.175100733501e-07, 6.313408578359e-09 6.487081528189e-08
2.666666666667e+02 8.209305578174e-08, 4.323658439969e-09 2.521386000191e-08
2.702222222222e+02 7.068973909780e-08, 3.778053444518e-09 2.236838576659e-08
2.737777777778e+02 9.156989168342e-08, 6.461441859038e-09 3.612224894701e-08
2.773333333333e+02 7.858766151754e-08, 5.448178202721e-09 2.403021277281e-08
2.808888888889e+02 8.229779111552e-08, 3.748524463117e-09 4.133224155314e-08
2.844444444444e+02 5.166698074295e-08, 4.494046374355e-09 2.475198937396e-08
2.880000000000e+02 1.121154966760e-07, 3.817386923183e-09 4.726460375312e-08
2.915555555556e+02 3.806677698279e-08, 3.731927696654e-09 1.875709151195e-08
2.951111111111e+02 1.087690464111e-07, 6.353846121781e-09 2.030598102828e-08
2.986666666667e+02 4.295209338050e-08, 5.264588430781e-09 1.610803786595e-08
3.022222222222e+02 6.942958497219e-08, 2.810168556370e-09 1.767066872549e-08
3.057777777778e+02 8.944206231587e-08, 7.460362188496e-09 2.612411482239e-08
3.093333333333e+02 8.327774013282e-08, 2.589135131958e-09 3.241764395497e-08
3.128888888889e+02 6.292453547680e-08, 3.040814050040e-09 3.349601599416e-08
3.164444444444e+02 9.241955891575e-08, 4.520397658672e-09 2.259625023015e-08
