A B
2.071493451195946429e+06 1.081909187296522316e+06
8.132619545273147523e+07 6.279880295834371448e+07
4.238969711367425509e+06 4.028647681630497798e+06
1.477950048047880828e+07 2.239001647691457532e+06
4.024362749561155215e+06 3.012381623651764356e+06
6.468758540299655870e+06 6.260273725616797805e+06
4.130738641147261858e+07 3.264824681582207792e+06
2.482075567167316563e+06 1.416447715506414417e+06
5.569609094581089914e+07 4.908035002638163418e+07
4.383510069761684537e+07 1.095040893267653324e+07
1.841252064755728841e+07 2.377012861983728595e+06
6.452235575938102789e+06 1.528110940710653737e+07
5.018755694107856601e+06 2.217261252501781285e+07
1.773608327328741550e+07 2.682100992763779592e+06
5.867808266791688278e+06 6.404935369880900718e+06
9.891162015909170732e+06 1.518900966429845663e+06
1.173469880857691634e+06 2.656205139732515439e+06
3.591874740335726738e+07 8.717574804217880964e+07
3.409637629257180542e+07 3.392450328872829676e+07
2.296185205308422446e+06 7.515492247993415594e+07
2.373885571017125156e+06 4.462491013836472295e+06
2.680573825386900455e+06 2.983620937058420852e+07
1.060229138858011365e+07 1.403844739729307778e+07
1.524015669155483507e+07 3.319384698382647708e+06
2.692374115385843441e+07 2.382411700660378113e+07
2.105679710618047975e+06 5.558105187584070489e+06
5.017575392664447427e+06 3.510568827829771489e+07
2.190476926281049382e+06 3.978882178546338528e+07
1.987872961185500259e+06 3.080206067973005399e+07
1.143681974839971215e+07 1.016866671650312375e+06
2.812718754357446358e+07 1.177123924180277251e+07
9.205438779053506255e+07 2.931396938027277589e+07
4.207070693231198937e+07 2.203257895659937337e+07
5.370234277808384597e+07 5.245815029119533300e+07
2.685447821285140142e+07 1.022355078556090943e+06
1.256547824896619655e+06 1.506531266508073313e+06
2.127792240993736312e+06 7.247033018385934643e+06
3.787715427246162295e+07 1.001681671250276151e+06
5.082467970876925625e+06 3.208694393530932255e+06
8.033892155561031774e+06 5.440152172918609530e+07
1.351634839508598112e+07 9.942164492689281702e+07
2.894796030578959733e+06 1.822425519231894519e+06
5.014556461582275480e+07 5.289565727344691753e+07
2.970559224320811220e+06 3.564108356627227273e+06
5.164386317540300079e+06 2.612101631476221140e+06
5.218683016559687257e+07 4.061027610043086112e+07
1.313538271345024370e+07 2.689127029609465506e+06
4.847991365605331957e+07 4.824705614758333191e+06
2.290843266764407232e+07 2.557734223093801178e+06
6.779262476065680385e+06 1.102182396574169165e+06
8.173084887160934508e+06 3.575170165698385332e+06
1.861091270655209664e+06 3.572348664395917207e+07
2.928239445961157233e+07 4.559266492218194157e+07
1.029202424448028579e+07 3.526439312521276623e+07
1.439013091514402535e+06 1.180977765659847111e+07
8.734465977053945884e+06 1.170376614630396711e+06
5.406184676410248503e+06 1.318031965090076905e+06
1.286923242934348993e+06 1.297889031613635831e+07
1.458242938403715938e+07 6.019053062217920087e+06
6.522780566444398835e+06 1.146715087504961295e+06
9.452485025533193722e+06 2.717872373376659583e+06
1.614783470244714804e+07 2.443470622963463888e+07
6.311517785043792799e+06 2.407968745811524242e+07
1.789245889310461283e+07 9.169063868559385836e+07
3.184414045251915604e+07 1.961299765067690052e+06
2.075276928940204205e+06 1.829658456608055532e+07
1.496681813777229749e+06 4.805476794105922431e+07
9.540858545282324776e+06 1.356313757799411193e+06
1.822380595119012753e+06 3.608353986044768989e+07
1.594272640931684710e+07 2.512655749838179909e+06
2.305677782714639604e+07 2.604071154531600699e+07
5.254452124480596744e+06 7.684230658708069474e+06
1.892327311770672444e+06 3.918886945439566672e+07
1.436158455910887755e+07 3.994254187269895524e+07
1.595131159762793221e+06 1.147266413631538115e+07
1.421217544769668579e+07 4.758646590344102122e+06
2.207078977892947942e+07 3.823074542769103777e+06
1.278246425001260825e+06 2.166618723454991356e+07
4.925616898469634354e+07 2.262638345925349742e+06
5.407524422360663116e+07 7.420679358749636449e+06
1.920895210596689023e+06 2.170641459592228290e+06
1.229874397066103527e+06 7.293822970848360658e+07
1.842117300859018043e+07 9.220034182551845908e+07
4.329419204592492431e+06 8.736062350397096947e+06
7.548137645028824918e+06 1.145174806968880584e+06
2.668492453753793240e+07 1.196302291387160309e+06
1.584302680381666496e+07 8.021828874271586537e+07
8.235190945144997537e+07 8.335479310713723302e+07
9.182796142754351720e+06 1.592683469039279502e+06
1.167773232239639387e+06 1.094074476022444433e+06
7.826988323572677374e+07 5.261775131000858732e+06
3.626588995690201968e+07 1.534757384780260175e+07
1.149874234091314720e+06 1.115470167084467784e+07
