logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 7.624459095797811518e-10 -5.991464546345535602e+00 nan
-5.991464546345535602e+00 nan -2.503130218118530294e-03 3.990000000000000000e+02 7.624945625645966300e-10 -5.991464546345487641e+00 nan
-5.298317365785566224e+00 nan -5.012541823544281946e-03 3.980000000000000000e+02 7.624985926913949004e-10 -5.991464546345483200e+00 nan
-4.892852257677392736e+00 nan -7.528266420791573932e-03 3.970000000000000000e+02 7.626982116039080167e-10 -5.991464546345284248e+00 nan
-4.605170185225556878e+00 4.804203695151123554e-01 -1.005033585350144018e-02 3.960000000000000000e+02 7.627183038111572323e-10 -5.991464546345263820e+00 nan
-4.382026633911310753e+00 5.067612153487729421e-01 -1.257878220686011773e-02 3.950000000000000000e+02 7.627473143476493967e-10 -5.991464546345234510e+00 nan
-4.199705077117326546e+00 5.118026999683848999e-01 -1.511363781004817011e-02 3.940000000000000000e+02 7.627590384326629571e-10 -5.991464546345222963e+00 nan
-4.045554397290045401e+00 3.895220862891055069e-01 -1.765493523872075157e-02 3.930000000000000000e+02 7.627750476874803200e-10 -5.991464546345206976e+00 nan
-3.912023004665504011e+00 3.192096422242224341e-01 -2.020270731751944854e-02 3.920000000000000000e+02 7.628099729911539021e-10 -5.991464546345171449e+00 nan
-3.794239969009101987e+00 3.673076663235731454e-01 -2.275698712261621515e-02 3.910000000000000000e+02 7.628560421009561716e-10 -5.991464546345125264e+00 nan
-3.688879453351256110e+00 2.740833328196101704e-01 -2.531780798428987650e-02 3.900000000000000000e+02 7.628704080696919839e-10 -5.991464546345111053e+00 nan
-3.593569273546914022e+00 2.597101151384362261e-01 -2.788520348953569400e-02 3.890000000000000000e+02 7.628981010428844351e-10 -5.991464546345083519e+00 nan
-3.506557896557267462e+00 2.645611736625046451e-01 -3.045920748470854617e-02 3.880000000000000000e+02 7.629105283076743782e-10 -5.991464546345071973e+00 nan
-3.426515188883715979e+00 2.877144621057978746e-01 -3.303985407820018289e-02 3.870000000000000000e+02 7.629373673025305456e-10 -5.991464546345044440e+00 nan
-3.352407216729979211e+00 2.405084021447315978e-01 -3.562717764315112556e-02 3.860000000000000000e+02 7.629635722747573350e-10 -5.991464546345017794e+00 nan
-3.283414345243012900e+00 2.099601013186689902e-01 -3.822121282019776134e-02 3.850000000000000000e+02 7.630347577993759446e-10 -5.991464546344947628e+00 nan
-3.218875824105424499e+00 1.943819893194261850e-01 -4.082199452025513098e-02 3.840000000000000000e+02 7.630524805587782377e-10 -5.991464546344928976e+00 nan
-3.158251202288973492e+00 1.896572877230169596e-01 -4.342955792733600023e-02 3.830000000000000000e+02 7.630769635046529151e-10 -5.991464546344904996e+00 nan
-3.101092788449009152e+00 1.957503743540390251e-01 -4.604393850140681144e-02 3.820000000000000000e+02 7.630835548461375110e-10 -5.991464546344897890e+00 nan
-3.047025567178718752e+00 1.769239721526967568e-01 -4.866517198128102878e-02 3.810000000000000000e+02 7.630840956225024813e-10 -5.991464546344898778e+00 nan
-2.995732272791155282e+00 1.904108143480236215e-01 -5.129329438755053650e-02 3.800000000000000000e+02 7.632102751195244747e-10 -5.991464546344771769e+00 nan
-2.946942108621705358e+00 1.731296915068488707e-01 -5.392834202555564505e-02 3.790000000000000000e+02 7.632111765480181166e-10 -5.991464546344770881e+00 nan
-2.900422092986796319e+00 1.835547522684658761e-01 -5.657035148839430205e-02 3.780000000000000000e+02 7.632192081424850502e-10 -5.991464546344763775e+00 nan
-2.855970330415947167e+00 2.094665795475506298e-01 -5.921935965997122964e-02 3.770000000000000000e+02 7.632949758736608130e-10 -5.991464546344686504e+00 nan
-2.813410715997134215e+00 2.140720610557744763e-01 -6.187540371808748080e-02 3.760000000000000000e+02 7.633973714253886769e-10 -5.991464546344584363e+00 nan
-2.772588721476859419e+00 2.160250407689753571e-01 -6.453852113757117814e-02 3.750000000000000000e+02 7.634549793052407057e-10 -5.991464546344526632e+00 nan
-2.733368008323557419e+00 1.997974181653305592e-01 -6.720874969345005945e-02 3.740000000000000000e+02 7.635103941807860516e-10 -5.991464546344472453e+00 nan
