weight logl A B
2.499999999988725217e-03 7.624459095797811518e-10 4.442961151120120659e+06 1.028593293910600012e+06
2.499999999988845346e-03 7.624945625645966300e-10 1.143681974839971215e+07 1.016866671650312375e+06
2.499999999988856188e-03 7.624985926913949004e-10 5.345733205316858366e+06 1.035301460694876267e+06
2.499999999989353620e-03 7.626982116039080167e-10 2.071493451195946429e+06 1.081909187296522316e+06
2.499999999989404795e-03 7.627183038111572323e-10 1.577871133967328630e+07 1.045928287446013186e+06
2.499999999989478087e-03 7.627473143476493967e-10 1.167773232239639387e+06 1.094074476022444433e+06
2.499999999989506710e-03 7.627590384326629571e-10 2.685447821285140142e+07 1.022355078556090943e+06
2.499999999989547042e-03 7.627750476874803200e-10 1.081707195293185767e+06 1.099769528329516528e+06
2.499999999989635513e-03 7.628099729911539021e-10 3.787715427246162295e+07 1.001681671250276151e+06
2.499999999989751306e-03 7.628560421009561716e-10 2.789501108461027965e+07 1.038743744963065954e+06
2.499999999989786434e-03 7.628704080696919839e-10 6.779262476065680385e+06 1.102182396574169165e+06
2.499999999989855389e-03 7.628981010428844351e-10 1.087256702587931417e+07 1.095952307394551812e+06
2.499999999989884446e-03 7.629105283076743782e-10 2.752642967216811143e+06 1.122224806752245175e+06
2.499999999989952967e-03 7.629373673025305456e-10 2.024704337663321290e+06 1.129950526729645906e+06
2.499999999990019754e-03 7.629635722747573350e-10 2.983419202337196097e+06 1.132636721620500786e+06
2.499999999990195395e-03 7.630347577993759446e-10 5.000374730253993534e+06 1.141947576186088612e+06
2.499999999990241799e-03 7.630524805587782377e-10 4.318812910620429367e+07 1.037500982218211284e+06
2.499999999990301647e-03 7.630769635046529151e-10 6.522780566444398835e+06 1.146715087504961295e+06
2.499999999990319428e-03 7.630835548461375110e-10 7.548137645028824918e+06 1.145174806968880584e+06
2.499999999990317259e-03 7.630840956225024813e-10 1.228077146826579608e+07 1.131542646357456222e+06
2.499999999990634714e-03 7.632102751195244747e-10 8.734465977053945884e+06 1.170376614630396711e+06
2.499999999990636882e-03 7.632111765480181166e-10 6.973537236084761098e+06 1.175721535957877757e+06
2.499999999990654663e-03 7.632192081424850502e-10 3.208561421534334123e+07 1.105727361861729994e+06
2.499999999990848085e-03 7.632949758736608130e-10 5.995266768549018539e+06 1.198325793720142683e+06
2.499999999991103523e-03 7.633973714253886769e-10 5.896091858259487897e+06 1.223643194958426058e+06
