weight logl A B
2.499999999901315103e-03 1.132779939342358937e-14 9.718575809098539686e-01 4.584330814602920467e-01
2.499999999901322042e-03 1.552994335711326632e-14 9.371764922434168144e-01 6.300213634946532082e-01
2.499999999901330715e-03 1.757398136889814335e-14 9.468110820986380682e-01 4.728127035437327264e-01
2.499999999901328547e-03 1.784916801210550215e-14 9.731808391709405592e-01 4.099363949078838054e-01
2.499999999901330715e-03 1.791122887403198875e-14 9.275839120168647423e-01 6.537455257449292789e-01
2.499999999901332884e-03 1.860882856729480363e-14 9.868995282252980283e-01 6.444923865373027860e-01
2.499999999901335052e-03 1.963192068894715191e-14 8.950548089117039696e-01 6.115009001363106433e-01
2.499999999901335052e-03 1.968879467227072363e-14 9.781397445462624018e-01 6.582188048718036200e-01
2.499999999901339823e-03 2.095901965802271974e-14 9.448086115653910877e-01 4.595079110863530270e-01
2.499999999901339823e-03 2.106853387376196337e-14 9.397772418059864297e-01 6.818335320933114341e-01
2.499999999901341991e-03 2.221412371893043701e-14 9.712102653059563329e-01 3.938606378031402899e-01
2.499999999901341991e-03 2.222327608953021203e-14 8.895789211131374108e-01 5.943474590493613707e-01
2.499999999901339823e-03 2.244933116182446061e-14 9.299779873562452615e-01 6.939483967496028471e-01
2.499999999901341991e-03 2.250657694065985486e-14 9.371421522591046882e-01 4.710724021595970035e-01
2.499999999901344160e-03 2.324748245824447288e-14 9.797048095589863115e-01 6.838934085842677257e-01
2.499999999901346328e-03 2.443994286737355425e-14 8.591625903194081149e-01 6.986759206024649727e-01
2.499999999901348496e-03 2.481897928545300354e-14 8.470248703575027349e-01 6.747250519466804208e-01
2.499999999901348496e-03 2.531240515524280975e-14 8.579768485056641358e-01 6.383439764994595089e-01
2.499999999901350665e-03 2.604008061701560350e-14 8.779596798674039748e-01 5.930598571093118609e-01
2.499999999901348496e-03 2.616286929381840075e-14 8.364367467414343116e-01 6.710461705455438297e-01
2.499999999901352833e-03 2.622787673055581671e-14 9.477470496965897384e-01 7.176084379658682622e-01
2.499999999901352833e-03 2.677367749006956303e-14 8.458296623453609442e-01 7.242216940037333739e-01
2.499999999901357170e-03 2.916131234923777509e-14 7.756699888133111731e-01 7.175060745560231101e-01
2.499999999901359772e-03 2.944121629503807502e-14 8.060354206910524955e-01 7.458289498164016873e-01
2.499999999901359772e-03 2.949709415776593318e-14 9.690610818332461296e-01 7.324045707995926469e-01
2.499999999901359772e-03 2.966710091040606877e-14 8.190198204823820882e-01 7.501105726172466737e-01
2.499999999901359772e-03 3.040311186243643791e-14 8.663322079475407334e-01 7.578764291452774193e-01
2.499999999901359772e-03 3.041444818448601586e-14 8.151838455139605033e-01 7.568722266119167763e-01
2.499999999901361940e-03 3.058817238875338025e-14 7.696156336559026867e-01 6.983505834498724418e-01
2.499999999901364109e-03 3.149015835285301802e-14 8.908753828663422691e-01 7.639238507340180284e-01
2.499999999901366277e-03 3.157667377355658305e-14 7.227242573248573443e-01 7.593260513122811473e-01
2.499999999901366277e-03 3.182782883868741250e-14 6.746154140111394470e-01 7.348240523634880228e-01
2.499999999901364109e-03 3.233842621204573905e-14 6.229371814534953034e-01 7.420777821768987925e-01
2.499999999901366277e-03 3.249462931802814608e-14 7.011421766269231304e-01 7.158296645299853100e-01
2.499999999901368446e-03 3.303870822954451597e-14 3.882833593249485071e-01 7.583027432168459869e-01
2.499999999901368446e-03 3.305881862563993391e-14 3.694837850192359552e-01 7.550629021614684300e-01
2.499999999901368446e-03 3.317220489213064825e-14 3.302784948240533591e-02 7.622081742927816483e-01
2.499999999901368446e-03 3.318716186192960892e-14 2.832335969312430590e-01 7.509418040451272258e-01
2.499999999901366277e-03 3.324458971141004878e-14 6.830994519940194465e-01 7.771587180423306096e-01
2.499999999901368446e-03 3.326534015656650447e-14 9.601804310858010894e-01 3.796329687577556511e-01
2.499999999901370614e-03 3.340903423900629725e-14 9.924461353750024806e-02 7.700239847585744757e-01
2.499999999901370614e-03 3.343153648260256922e-14 5.594648917348487016e-01 7.749709242211842986e-01
2.499999999901370614e-03 3.348618940025138397e-14 1.215046215124243600e-01 7.717212487949487443e-01
2.499999999901370614e-03 3.359615463140813860e-14 5.858662319024623422e-01 7.779543897634431104e-01
2.499999999901370614e-03 3.365611442030159821e-14 1.385311256636442279e-01 7.749259854161036909e-01
2.499999999901368446e-03 3.395875497850045247e-14 7.172090021483068512e-02 7.387481448094030956e-01
2.499999999901370614e-03 3.407299387262473508e-14 7.298984144884352876e-01 7.864249197939094937e-01
2.499999999901370614e-03 3.412656025290928871e-14 9.788240444513552907e-01 3.374277159568576101e-01
2.499999999901372782e-03 3.422592182065905412e-14 7.061872879015806959e-01 7.873855742433086835e-01
2.499999999901372782e-03 3.423673273790435549e-14 8.631538344019250575e-01 7.853029191422143951e-01
