14:20:01 [ultranest] [DEBUG] ReactiveNestedSampler: dims=2+0, resume=False, log_dir=./results, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
14:20:01 [ultranest] [INFO] Sampling 400 live points from prior ...
14:20:01 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=400
14:20:01 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:20:01 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:20:01 [ultranest] [INFO] Explored until L=0.04  
14:20:01 [ultranest] [INFO] Likelihood function evaluations: 400
14:20:01 [ultranest] [INFO] Writing samples and results to disk ...
14:20:01 [ultranest] [INFO] Writing samples and results to disk ... done
14:20:01 [ultranest] [DEBUG] did a run_iter pass!
14:20:01 [ultranest] [INFO]   logZ = 0.01422 +- 0.0001342
14:20:01 [ultranest] [INFO] Effective samples strategy wants to improve: 0.01..0.04 (ESS = 400.0, need >400)
14:20:01 [ultranest] [INFO] Posterior uncertainty strategy is satisfied (KL: 0.46+-0.05 nat, need <0.50 nat)
14:20:01 [ultranest] [DEBUG]   conservative estimate says at least 40 live points are needed to reach dlogz goal
14:20:01 [ultranest] [DEBUG]   number of live points vary between 1 and inf, most (69/129 iterations) have 1
14:20:01 [ultranest] [INFO] Evidency uncertainty strategy wants 40 minimum live points (dlogz from 0.00 to 0.00, need <0.5)
14:20:01 [ultranest] [INFO]   logZ error budget: single: inf bs:0.00 tail:0.69 total:0.69 required:<0.50
14:20:01 [ultranest] [INFO] Widening from 1 to 800 live points before L=0.01...
14:20:01 [ultranest] [INFO] parent value is -inf, so widening roots
14:20:01 [ultranest] [INFO] Widening roots to 800 live points (have 400 already) ...
14:20:01 [ultranest] [INFO] Sampling 400 live points from prior ...
14:20:01 [ultranest] [INFO] Exploring (in particular: L=-inf..0.04) ...
14:20:01 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 800.0), (0.037822363585210426, 800.0), (inf, 400.0)]
14:20:01 [ultranest] [DEBUG] iteration=0, ncalls=837, regioncalls=0, ndraw=128, logz=-inf, remainder_fraction=100.0000%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=10, ncalls=1192, regioncalls=0, ndraw=128, logz=-4.38, remainder_fraction=98.7592%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=22, ncalls=1544, regioncalls=0, ndraw=128, logz=-3.59, remainder_fraction=97.2905%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=34, ncalls=1868, regioncalls=0, ndraw=128, logz=-3.17, remainder_fraction=95.8436%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=40, ncalls=2040, regioncalls=0, ndraw=128, logz=-3.01, remainder_fraction=95.1283%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=52, ncalls=2379, regioncalls=0, ndraw=128, logz=-2.75, remainder_fraction=93.7135%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=64, ncalls=2691, regioncalls=0, ndraw=128, logz=-2.55, remainder_fraction=92.3200%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=76, ncalls=3029, regioncalls=0, ndraw=128, logz=-2.39, remainder_fraction=90.9472%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=80, ncalls=3126, regioncalls=0, ndraw=128, logz=-2.34, remainder_fraction=90.4941%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=93, ncalls=3468, regioncalls=0, ndraw=128, logz=-2.20, remainder_fraction=89.0370%, Lmin=0.01, Lmax=0.04
14:20:02 [ultranest] [DEBUG] iteration=105, ncalls=3788, regioncalls=0, ndraw=128, logz=-2.08, remainder_fraction=87.7132%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=118, ncalls=4135, regioncalls=0, ndraw=128, logz=-1.97, remainder_fraction=86.3009%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=120, ncalls=4195, regioncalls=0, ndraw=128, logz=-1.96, remainder_fraction=86.0857%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=133, ncalls=4550, regioncalls=0, ndraw=128, logz=-1.86, remainder_fraction=84.6996%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=145, ncalls=4863, regioncalls=0, ndraw=128, logz=-1.78, remainder_fraction=83.4400%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=157, ncalls=5177, regioncalls=0, ndraw=128, logz=-1.71, remainder_fraction=82.1990%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=160, ncalls=5264, regioncalls=0, ndraw=128, logz=-1.69, remainder_fraction=81.8918%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=172, ncalls=5613, regioncalls=0, ndraw=128, logz=-1.63, remainder_fraction=80.6739%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=179, ncalls=5831, regioncalls=0, ndraw=128, logz=-1.59, remainder_fraction=79.9720%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=191, ncalls=6183, regioncalls=0, ndraw=128, logz=-1.54, remainder_fraction=78.7828%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=200, ncalls=6461, regioncalls=0, ndraw=128, logz=-1.50, remainder_fraction=77.9023%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=211, ncalls=6808, regioncalls=0, ndraw=128, logz=-1.45, remainder_fraction=76.8396%, Lmin=0.01, Lmax=0.04
14:20:03 [ultranest] [DEBUG] iteration=223, ncalls=7169, regioncalls=0, ndraw=128, logz=-1.40, remainder_fraction=75.6969%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=235, ncalls=7518, regioncalls=0, ndraw=128, logz=-1.36, remainder_fraction=74.5724%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=240, ncalls=7675, regioncalls=0, ndraw=128, logz=-1.34, remainder_fraction=74.1088%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=252, ncalls=8039, regioncalls=0, ndraw=128, logz=-1.30, remainder_fraction=73.0066%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=264, ncalls=8402, regioncalls=0, ndraw=128, logz=-1.26, remainder_fraction=71.9208%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=276, ncalls=8752, regioncalls=0, ndraw=128, logz=-1.22, remainder_fraction=70.8511%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=280, ncalls=8871, regioncalls=0, ndraw=128, logz=-1.21, remainder_fraction=70.4984%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=290, ncalls=9175, regioncalls=0, ndraw=128, logz=-1.18, remainder_fraction=69.6235%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=301, ncalls=9504, regioncalls=0, ndraw=128, logz=-1.15, remainder_fraction=68.6745%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=312, ncalls=9817, regioncalls=0, ndraw=128, logz=-1.12, remainder_fraction=67.7379%, Lmin=0.01, Lmax=0.04
14:20:04 [ultranest] [DEBUG] iteration=320, ncalls=10048, regioncalls=0, ndraw=128, logz=-1.10, remainder_fraction=67.0646%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=332, ncalls=10391, regioncalls=0, ndraw=128, logz=-1.07, remainder_fraction=66.0673%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=344, ncalls=10743, regioncalls=0, ndraw=128, logz=-1.04, remainder_fraction=65.0848%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=356, ncalls=11089, regioncalls=0, ndraw=128, logz=-1.01, remainder_fraction=64.1168%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=358, ncalls=11145, regioncalls=0, ndraw=128, logz=-1.01, remainder_fraction=63.9568%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=360, ncalls=11210, regioncalls=0, ndraw=128, logz=-1.00, remainder_fraction=63.7976%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=371, ncalls=11549, regioncalls=0, ndraw=128, logz=-0.98, remainder_fraction=62.9283%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=382, ncalls=11900, regioncalls=0, ndraw=128, logz=-0.96, remainder_fraction=62.0708%, Lmin=0.01, Lmax=0.04
