logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 1.132779939342358937e-14 -5.991464547107970162e+00 nan
-5.991464547107970162e+00 nan -2.503130218118530294e-03 3.990000000000000000e+02 1.552994335711326632e-14 -5.991464547107967498e+00 nan
-5.298317366548023877e+00 3.477899514820932958e-01 -5.012541823544281946e-03 3.980000000000000000e+02 1.757398136889814335e-14 -5.991464547107963945e+00 nan
-4.892852258439857493e+00 3.022106041993846692e-01 -7.528266420791573932e-03 3.970000000000000000e+02 1.784916801210550215e-14 -5.991464547107964833e+00 nan
-4.605170185988075815e+00 3.763798871478487018e-01 -1.005033585350144018e-02 3.960000000000000000e+02 1.791122887403198875e-14 -5.991464547107963945e+00 nan
-4.382026634673865217e+00 2.670886664659006260e-01 -1.257878220686011773e-02 3.950000000000000000e+02 1.860882856729480363e-14 -5.991464547107963057e+00 nan
-4.199705077879910320e+00 2.447696752337338577e-01 -1.511363781004817011e-02 3.940000000000000000e+02 1.963192068894715191e-14 -5.991464547107962169e+00 nan
-4.045554398052651379e+00 2.487185490516512221e-01 -1.765493523872075157e-02 3.930000000000000000e+02 1.968879467227072363e-14 -5.991464547107962169e+00 nan
-3.912023005428128641e+00 1.943965965011836272e-01 -2.020270731751944854e-02 3.920000000000000000e+02 2.095901965802271974e-14 -5.991464547107960392e+00 nan
-3.794239969771744825e+00 1.781871696603079813e-01 -2.275698712261621515e-02 3.910000000000000000e+02 2.106853387376196337e-14 -5.991464547107960392e+00 nan
-3.688879454113918044e+00 1.941238666655416278e-01 -2.531780798428987650e-02 3.900000000000000000e+02 2.221412371893043701e-14 -5.991464547107959504e+00 nan
-3.593569274309592831e+00 1.796572855153121540e-01 -2.788520348953569400e-02 3.890000000000000000e+02 2.222327608953021203e-14 -5.991464547107959504e+00 nan
-3.506557897319962702e+00 2.070359339803779231e-01 -3.045920748470854617e-02 3.880000000000000000e+02 2.244933116182446061e-14 -5.991464547107960392e+00 nan
-3.426515189646425874e+00 2.195308263630859069e-01 -3.303985407820018289e-02 3.870000000000000000e+02 2.250657694065985486e-14 -5.991464547107959504e+00 nan
-3.352407217492703762e+00 2.455474801244519611e-01 -3.562717764315112556e-02 3.860000000000000000e+02 2.324748245824447288e-14 -5.991464547107958616e+00 nan
-3.283414346005752105e+00 2.374574024868058575e-01 -3.822121282019776134e-02 3.850000000000000000e+02 2.443994286737355425e-14 -5.991464547107957728e+00 nan
-3.218875824868180580e+00 2.055224818588040903e-01 -4.082199452025513098e-02 3.840000000000000000e+02 2.481897928545300354e-14 -5.991464547107956840e+00 nan
-3.158251203051745559e+00 1.785493525608020937e-01 -4.342955792733600023e-02 3.830000000000000000e+02 2.531240515524280975e-14 -5.991464547107956840e+00 nan
-3.101092789211796763e+00 1.949311155196407908e-01 -4.604393850140681144e-02 3.820000000000000000e+02 2.604008061701560350e-14 -5.991464547107955951e+00 nan
-3.047025567941520574e+00 1.733049068177197338e-01 -4.866517198128102878e-02 3.810000000000000000e+02 2.616286929381840075e-14 -5.991464547107956840e+00 nan
