weight logl A B
2.499999999901315103e-03 1.132779939342358937e-14 7.716677025672543794e+06 2.373008229743687934e+03
2.499999999901322042e-03 1.552994335711326632e-14 5.606682574584004469e+06 7.763616788129534143e+03
2.499999999901330715e-03 1.757398136889814335e-14 6.126949889689196832e+06 2.620825529870155606e+03
2.499999999901328547e-03 1.784916801210550215e-14 7.811300703038938344e+06 1.697497661741329694e+03
2.499999999901330715e-03 1.791122887403198875e-14 5.132579063442746177e+06 9.146113304510490707e+03
2.499999999901332884e-03 1.860882856729480363e-14 8.863354360098795965e+06 8.579799907062970306e+03
2.499999999901335052e-03 1.963192068894715191e-14 3.803813676980546676e+06 6.831289656082682995e+03
2.499999999901335052e-03 1.968879467227072363e-14 8.176340669829200953e+06 9.433142924396979652e+03
2.499999999901339823e-03 2.095901965802271974e-14 6.014983581975881010e+06 2.390692577980783881e+03
2.499999999901339823e-03 2.106853387376196337e-14 5.742605297207445838e+06 1.110454059969680929e+04
2.499999999901341991e-03 2.221412371893043701e-14 7.670807094156946056e+06 1.519084433470719432e+03
2.499999999901341991e-03 2.222327608953021203e-14 3.616726634704602882e+06 6.067955359814880467e+03
2.499999999901339823e-03 2.244933116182446061e-14 5.247010695021738298e+06 1.207383371342870669e+04
2.499999999901341991e-03 2.250657694065985486e-14 5.604909556916301139e+06 2.589507698400465415e+03
2.499999999901344160e-03 2.324748245824447288e-14 8.295054394440316595e+06 1.126367797809962758e+04
2.499999999901346328e-03 2.443994286737355425e-14 2.733067521737408824e+06 1.247463254440361197e+04
2.499999999901348496e-03 2.481897928545300354e-14 2.443990319897568319e+06 1.057243821541695070e+04
2.499999999901348496e-03 2.531240515524280975e-14 2.703381852036377881e+06 8.223031037671646118e+03
2.499999999901350665e-03 2.604008061701560350e-14 3.249665946829420514e+06 6.014223611526133027e+03
2.499999999901348496e-03 2.616286929381840075e-14 2.216904510325644165e+06 1.030714798874192275e+04
2.499999999901352833e-03 2.622787673055581671e-14 6.179996068223948590e+06 1.421756799404816411e+04
2.499999999901352833e-03 2.677367749006956303e-14 2.417233750214299653e+06 1.488212959210588087e+04
2.499999999901357170e-03 2.916131234923777509e-14 1.266718038959896425e+06 1.420751828553218729e+04
2.499999999901359772e-03 2.944121629503807502e-14 1.675489392872409429e+06 1.727773662276202231e+04
2.499999999901359772e-03 2.949709415776593318e-14 7.520458643563569523e+06 1.574757597846207864e+04
2.499999999901359772e-03 2.966710091040606877e-14 1.888336039776883554e+06 1.779638193970183420e+04
2.499999999901359772e-03 3.040311186243643791e-14 2.919636818796896841e+06 1.877713321652223749e+04
2.499999999901359772e-03 3.041444818448601586e-14 1.822784731434974819e+06 1.864733099944684363e+04
2.499999999901361940e-03 3.058817238875338025e-14 1.198015769245523494e+06 1.244662916450075681e+04
2.499999999901364109e-03 3.149015835285301802e-14 3.660172312530712225e+06 1.957814552019268376e+04
2.499999999901366277e-03 3.157667377355658305e-14 7.778521013743416406e+05 1.896610514714092278e+04
2.499999999901366277e-03 3.182782883868741250e-14 4.994150847938680672e+05 1.601297984769294271e+04
2.499999999901364109e-03 3.233842621204573905e-14 3.102763870969808195e+05 1.683578405182909410e+04
2.499999999901366277e-03 3.249462931802814608e-14 6.376299477590877796e+05 1.404394091292650592e+04
2.499999999901368446e-03 3.303870822954451597e-14 3.573826273604315793e+04 1.883251099462474667e+04
2.499999999901368446e-03 3.305881862563993391e-14 3.005627392206151126e+04 1.841572014146505899e+04
2.499999999901368446e-03 3.317220489213064825e-14 1.355537067373766376e+03 1.934748518945139222e+04
2.499999999901368446e-03 3.318716186192960892e-14 1.358108251017556540e+04 1.789886169035575222e+04
2.499999999901366277e-03 3.324458971141004878e-14 5.400050334806409664e+05 2.145241323491100047e+04
2.499999999901368446e-03 3.326534015656650447e-14 6.929816334059695713e+06 1.376888923641087331e+03
2.499999999901370614e-03 3.340903423900629725e-14 2.494470970292104994e+03 2.042076249557236952e+04
2.499999999901370614e-03 3.343153648260256922e-14 1.729257097828602127e+05 2.113064591645675682e+04
2.499999999901370614e-03 3.348618940025138397e-14 3.062093771089076199e+03 2.066159033537835421e+04
2.499999999901370614e-03 3.359615463140813860e-14 2.205286036558092746e+05 2.157064687891448921e+04
2.499999999901370614e-03 3.365611442030159821e-14 3.581991101737926328e+03 2.112408742692028318e+04
